Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"verifyElementText(findTestObject(""KatalonTest/Page_CustomerDetail Form/Page_CustomerDetail Form/p_First Name""), ""First Name: johnjohnjohnjoh"")",Chrome 122.0.0.0,,,05-03-2024 12:27:05,05-03-2024 12:27:05,0.280s,PASSED
"takeFullPageScreenshot(""IMG/Screen5.png"")",Chrome 122.0.0.0,,,05-03-2024 12:27:05,05-03-2024 12:27:05,0.257s,PASSED
closeBrowser(),Chrome 122.0.0.0,,,05-03-2024 12:27:05,05-03-2024 12:27:06,0.111s,PASSED
,,,,,,,
Test Cases/Test-Web/Test_Google6,Chrome 122.0.0.0,,,05-03-2024 12:27:06,05-03-2024 12:27:09,3.331s,PASSED
"openBrowser("""")",Chrome 122.0.0.0,,,05-03-2024 12:27:06,05-03-2024 12:27:06,0.558s,PASSED
"navigateToUrl(""http://localhost/Python-and-Capture-Screen-Short/Customer/Customer.html"")",Chrome 122.0.0.0,,,05-03-2024 12:27:06,05-03-2024 12:27:06,0.060s,PASSED
"setText(findTestObject(""Page_CustomerDetail Form/input_First Name_firstName""), ""John"")",Chrome 122.0.0.0,,,05-03-2024 12:27:06,05-03-2024 12:27:07,0.601s,PASSED
"setText(findTestObject(""KatalonTest/Page_CustomerDetail Form/input_Last Name_lastName""), ""canoncan"")",Chrome 122.0.0.0,,,05-03-2024 12:27:07,05-03-2024 12:27:07,0.568s,PASSED
"setText(findTestObject(""KatalonTest/Page_CustomerDetail Form/input_Age_age""), ""75"")",Chrome 122.0.0.0,,,05-03-2024 12:27:07,05-03-2024 12:27:08,0.545s,PASSED
"click(findTestObject(""KatalonTest/Page_CustomerDetail Form/input_submit""))",Chrome 122.0.0.0,,,05-03-2024 12:27:08,05-03-2024 12:27:08,0.301s,PASSED
"verifyElementText(findTestObject(""KatalonTest/Page_CustomerDetail Form/Page_CustomerDetail Form/p_First Name""), ""First Name: John"")",Chrome 122.0.0.0,,,05-03-2024 12:27:08,05-03-2024 12:27:09,0.279s,PASSED
"takeFullPageScreenshot(""IMG/Screen6.png"")",Chrome 122.0.0.0,,,05-03-2024 12:27:09,05-03-2024 12:27:09,0.262s,PASSED
closeBrowser(),Chrome 122.0.0.0,,,05-03-2024 12:27:09,05-03-2024 12:27:09,0.111s,PASSED
,,,,,,,
Test Cases/Test-Web/Test_Google7,Chrome 122.0.0.0,,,05-03-2024 12:27:09,05-03-2024 12:27:12,3.285s,PASSED
"openBrowser("""")",Chrome 122.0.0.0,,,05-03-2024 12:27:09,05-03-2024 12:27:10,0.594s,PASSED
"navigateToUrl(""http://localhost/Python-and-Capture-Screen-Short/Customer/Customer.html"")",Chrome 122.0.0.0,,,05-03-2024 12:27:10,05-03-2024 12:27:10,0.059s,PASSED
"setText(findTestObject(""Page_CustomerDetail Form/input_First Name_firstName""), ""johnjohn"")",Chrome 122.0.0.0,,,05-03-2024 12:27:10,05-03-2024 12:27:10,0.559s,PASSED
"setText(findTestObject(""KatalonTest/Page_CustomerDetail Form/input_Last Name_lastName""), ""cano"")",Chrome 122.0.0.0,,,05-03-2024 12:27:10,05-03-2024 12:27:11,0.574s,PASSED
"setText(findTestObject(""KatalonTest/Page_CustomerDetail Form/input_Age_age""), ""75"")",Chrome 122.0.0.0,,,05-03-2024 12:27:11,05-03-2024 12:27:11,0.537s,PASSED
"click(findTestObject(""KatalonTest/Page_CustomerDetail Form/input_submit""))",Chrome 122.0.0.0,,,05-03-2024 12:27:11,05-03-2024 12:27:12,0.281s,PASSED
"verifyElementText(findTestObject(""KatalonTest/Page_CustomerDetail Form/Page_CustomerDetail Form/p_First Name""), ""First Name: johnjohn"")",Chrome 122.0.0.0,,,05-03-2024 12:27:12,05-03-2024 12:27:12,0.304s,PASSED
"takeFullPageScreenshot(""IMG/Screen7.png"")",Chrome 122.0.0.0,,,05-03-2024 12:27:12,05-03-2024 12:27:12,0.258s,PASSED
closeBrowser(),Chrome 122.0.0.0,,,05-03-2024 12:27:12,05-03-2024 12:27:12,0.068s,PASSED
,,,,,,,
Test Cases/Test-Web/Test_Google8,Chrome 122.0.0.0,,,05-03-2024 12:27:12,05-03-2024 12:27:15,3.299s,PASSED
"openBrowser("""")",Chrome 122.0.0.0,,,05-03-2024 12:27:12,05-03-2024 12:27:13,0.516s,PASSED
"navigateToUrl(""http://localhost/Python-and-Capture-Screen-Short/Customer/Customer.html"")",Chrome 122.0.0.0,,,05-03-2024 12:27:13,05-03-2024 12:27:13,0.059s,PASSED
"setText(findTestObject(""Page_CustomerDetail Form/input_First Name_firstName""), ""johnjohn"")",Chrome 122.0.0.0,,,05-03-2024 12:27:13,05-03-2024 12:27:13,0.578s,PASSED
"setText(findTestObject(""KatalonTest/Page_CustomerDetail Form/input_Last Name_lastName""), ""canoncan"")",Chrome 122.0.0.0,,,05-03-2024 12:27:13,05-03-2024 12:27:14,0.574s,PASSED
"setText(findTestObject(""KatalonTest/Page_CustomerDetail Form/input_Age_age""), ""0"")",Chrome 122.0.0.0,,,05-03-2024 12:27:14,05-03-2024 12:27:15,0.591s,PASSED
"click(findTestObject(""KatalonTest/Page_CustomerDetail Form/input_submit""))",Chrome 122.0.0.0,,,05-03-2024 12:27:15,05-03-2024 12:27:15,0.302s,PASSED
"verifyElementText(findTestObject(""KatalonTest/Page_CustomerDetail Form/Page_CustomerDetail Form/p_First Name""), ""First Name: johnjohn"")",Chrome 122.0.0.0,,,05-03-2024 12:27:15,05-03-2024 12:27:15,0.267s,PASSED
"takeFullPageScreenshot(""IMG/Screen8.png"")",Chrome 122.0.0.0,,,05-03-2024 12:27:15,05-03-2024 12:27:15,0.258s,PASSED
